Name: Taxa SELIC
Data Provider: Banco Central do Brasil ( Brazil Central Bank )
Url: www3.bcb.gov.br/selic/consulta/taxaSelic.do?method=listarTaxaDiaria
Description: Brazilian Daily Interest Rate Since 1/7/2000
time,rate,factor,VNA
2011-09-12,11.91,1.0004466299999999,4859.11715122845
2011-09-13,11.91,1.0004466299999999,4861.2873787217022
2011-09-14,11.91,1.0004466299999999,4863.4585755036596
2011-09-15,11.91,1.0004466299999999,4865.6307420072362
2011-09-16,11.91,1.0004466299999999,4867.8038786655388
2011-09-19,11.9,1.0004462700000001,4869.9779859118662
2011-09-20,11.9,1.0004462700000001,4872.1513109876396
2011-09-21,11.9,1.0004462700000001,4874.325605953195
2011-09-22,11.9,1.0004462700000001,4876.5008712413646
2011-09-23,11.9,1.0004462700000001,4878.6771072851734
2011-09-26,11.9,1.0004462700000001,4880.8543145178419
2011-09-27,11.9,1.0004462700000001,4883.0324933727825
2011-09-28,11.9,1.0004462700000001,4885.2116442836004
2011-09-29,11.9,1.0004462700000001,4887.3917676840956
2011-09-30,11.9,1.0004462700000001,4889.5728640082607
2011-10-03,11.9,1.0004462700000001,4891.7549336902821
2011-10-04,11.9,1.0004462700000001,4893.9379771645408
2011-10-05,11.9,1.0004462700000001,4896.1219948656098
2011-10-06,11.9,1.0004462700000001,4898.3069872282585
2011-10-07,11.9,1.0004462700000001,4900.49295468745
2011-10-10,11.9,1.0004462700000001,4902.6798976783384
2011-10-11,11.9,1.0004462700000001,4904.8678166362761
2011-10-13,11.9,1.0004462700000001,4907.0567119968073
2011-10-14,11.9,1.0004462700000001,4909.24658419567
2011-10-17,11.9,1.0004462700000001,4911.4374336687997
2011-10-18,11.9,1.0004462700000001,4913.6292608523236
2011-10-19,11.890000000000001,1.00044592,4915.8220661825644
2011-10-20,11.4,1.00042849,4918.0141295583162
2011-10-21,11.4,1.00042849,4920.1214494326914
2011-10-24,11.4,1.00042849,4922.2296722725587
2011-10-25,11.4,1.00042849,4924.3387984648298
2011-10-26,11.4,1.00042849,4926.4488283965838
2011-10-27,11.4,1.00042849,4928.5597624550637
2011-10-28,11.4,1.00042849,4930.6716010276778
2011-10-31,11.4,1.00042849,4932.7843445020017
2011-11-01,11.4,1.00042849,4934.8979932657776
2011-11-03,11.4,1.00042849,4937.0125477069123
2011-11-04,11.4,1.00042849,4939.128008213479
2011-11-07,11.4,1.00042849,4941.2443751737183
2011-11-08,11.4,1.00042849,4943.3616489760361
2011-11-09,11.4,1.00042849,4945.4798300090051
2011-11-10,11.4,1.00042849,4947.598918661366
2011-11-11,11.4,1.00042849,4949.7189153220233
2011-11-14,11.4,1.00042849,4951.8398203800498
2011-11-16,11.4,1.00042849,4953.9616342246845
2011-11-17,11.4,1.00042849,4956.0843572453332
2011-11-18,11.4,1.00042849,4958.2079898315696
2011-11-21,11.4,1.00042849,4960.3325323731324
2011-11-22,11.4,1.00042849,4962.457985259929
2011-11-23,11.4,1.00042849,4964.5843488820328
2011-11-24,11.4,1.00042849,4966.7116236296861
2011-11-25,11.4,1.00042849,4968.8398098932948
2011-11-28,11.4,1.00042849,4970.9689080634362
2011-11-29,11.4,1.00042849,4973.0989185308526
2011-11-30,11.4,1.00042849,4975.2298416864533
2011-12-01,10.9,1.00041063,4977.3616779213171
2011-12-02,10.9,1.00041063,4979.4055319471217
2011-12-05,10.9,1.00041063,4981.4502252407046
2011-12-06,10.9,1.00041063,4983.4957581466952
2011-12-07,10.9,1.00041063,4985.5421310098627
2011-12-08,10.9,1.00041063,4987.5893441751195
2011-12-09,10.9,1.00041063,4989.6373979875179
2011-12-12,10.9,1.00041063,4991.686292792253
2011-12-13,10.9,1.00041063,4993.7360289346616
2011-12-14,10.9,1.00041063,4995.7866067602235
2011-12-15,10.9,1.00041063,4997.8380266145577
2011-12-16,10.9,1.00041063,4999.8902888434259
2011-12-19,10.9,1.00041063,5001.9433937927342
2011-12-20,10.9,1.00041063,5003.9973418085274
2011-12-21,10.9,1.00041063,5006.0521332369945
2011-12-22,10.9,1.00041063,5008.1077684244656
2011-12-23,10.9,1.00041063,5010.1642477174137
2011-12-26,10.9,1.00041063,5012.2215714624535
2011-12-27,10.9,1.00041063,5014.2797400063437
2011-12-28,10.9,1.00041063,5016.3387536959826
2011-12-29,10.9,1.00041063,5018.3986128784127
2011-12-30,10.91,1.00041099,5020.459317900818
2012-01-02,10.9,1.00041063,5022.5226764758827
2012-01-03,10.9,1.00041063,5024.5850749625242
2012-01-04,10.9,1.00041063,5026.6483203318558
2012-01-05,10.9,1.00041063,5028.7124129316335
2012-01-06,10.9,1.00041063,5030.7773531097555
2012-01-09,10.9,1.00041063,5032.8431412142627
2012-01-10,10.9,1.00041063,5034.9097775933387
2012-01-11,10.9,1.00041063,5036.9772625953119
2012-01-12,10.9,1.00041063,5039.0455965686515
2012-01-13,10.9,1.00041063,5041.1147798619704
2012-01-16,10.9,1.00041063,5043.1848128240244
2012-01-17,10.9,1.00041063,5045.2556958037139
2012-01-18,10.9,1.00041063,5047.327429150082
2012-01-19,10.4,1.0003926999999999,5049.4000132123138
2012-01-20,10.4,1.0003926999999999,5051.3829125975017
2012-01-23,10.4,1.0003926999999999,5053.3665906672786
2012-01-24,10.4,1.0003926999999999,5055.3510477274322
2012-01-25,10.4,1.0003926999999999,5057.3362840838745
2012-01-26,10.4,1.0003926999999999,5059.3223000426342
2012-01-27,10.4,1.0003926999999999,5061.3090959098599
2012-01-30,10.4,1.0003926999999999,5063.2966719918231
2012-01-31,10.4,1.0003926999999999,5065.2850285949144
2012-02-01,10.4,1.0003926999999999,5067.2741660256434
2012-02-02,10.4,1.0003926999999999,5069.2640845906408
2012-02-03,10.4,1.0003926999999999,5071.2547845966592
2012-02-06,10.4,1.0003926999999999,5073.2462663505703
2012-02-07,10.4,1.0003926999999999,5075.2385301593658
2012-02-08,10.4,1.0003926999999999,5077.2315763301585
2012-02-09,10.4,1.0003926999999999,5079.2254051701839
2012-02-10,10.4,1.0003926999999999,5081.2200169867938
2012-02-13,10.4,1.0003926999999999,5083.2154120874638
2012-02-14,10.4,1.0003926999999999,5085.2115907797897
2012-02-15,10.4,1.0003926999999999,5087.208553371489
2012-02-16,10.4,1.0003926999999999,5089.2063001703973
2012-02-17,10.4,1.0003926999999999,5091.2048314844733
2012-02-22,10.4,1.0003926999999999,5093.2041476217964
2012-02-23,10.4,1.0003926999999999,5095.2042488905672
2012-02-24,10.4,1.0003926999999999,5097.2051355991071
2012-02-27,10.4,1.0003926999999999,5099.2068080558565
2012-02-28,10.4,1.0003926999999999,5101.2092665693799
2012-02-29,10.4,1.0003926999999999,5103.2125114483615
2012-03-01,10.4,1.0003926999999999,5105.2165430016066
2012-03-02,10.4,1.0003926999999999,5107.2213615380433
2012-03-05,10.4,1.0003926999999999,5109.2269673667188
2012-03-06,10.4,1.0003926999999999,5111.233360796803
2012-03-07,10.4,1.0003926999999999,5113.2405421375879
2012-03-08,9.6500000000000004,1.0003656400000001,5115.2485116984844
2012-03-09,9.6500000000000004,1.0003656400000001,5117.1188511643022
2012-03-12,9.6500000000000004,1.0003656400000001,5118.9898745010423
2012-03-13,9.6500000000000004,1.0003656400000001,5120.8615819587558
2012-03-14,9.6500000000000004,1.0003656400000001,5122.7339737875836
2012-03-15,9.6500000000000004,1.0003656400000001,5124.6070502377588
