Name: usd2brl
Data Provider: www.debit.com.br
Url: www.debit.com.br/consulta20.php?indexador=12&imes=01&iano=2000&fmes=12&fano=2014
Description: Dollar to BRL exchange Rate
time,rate
2000-07-23,1.796
2000-07-24,1.79
2000-07-25,1.7909999999999999
2000-07-26,1.786
2000-07-27,1.778
2000-07-28,1.7849999999999999
2000-07-29,1.7849999999999999
2000-07-30,1.7849999999999999
2000-07-31,1.7809999999999999
2000-08-01,1.7809999999999999
2000-08-02,1.7869999999999999
2000-08-03,1.792
2000-08-04,1.7909999999999999
2000-08-05,1.7909999999999999
2000-08-06,1.7909999999999999
2000-08-07,1.7949999999999999
2000-08-08,1.794
2000-08-09,1.796
2000-08-10,1.903
2000-08-11,1.798
2000-08-12,1.798
2000-08-13,1.798
2000-08-14,1.8029999999999999
2000-08-15,1.804
2000-08-16,1.8109999999999999
2000-08-17,1.8089999999999999
2000-08-18,1.8160000000000001
2000-08-19,1.8160000000000001
2000-08-20,1.8160000000000001
2000-08-21,1.8200000000000001
2000-08-22,1.8149999999999999
2000-08-23,1.8220000000000001
2000-08-24,1.819
2000-08-25,1.8220000000000001
2000-08-26,1.8220000000000001
2000-08-26,1.8220000000000001
2000-08-27,1.8220000000000001
2000-08-28,1.829
2000-08-29,1.829
2000-08-30,1.8220000000000001
2000-08-31,1.8220000000000001
2000-09-01,1.823
2000-09-02,1.823
2000-09-03,1.823
2000-09-04,1.825
2000-09-05,1.821
2000-09-06,1.819
2000-09-07,1.819
2000-09-08,1.8160000000000001
2000-09-09,1.8160000000000001
2000-09-10,1.8160000000000001
2000-09-11,1.8220000000000001
2000-09-12,1.8280000000000001
2000-09-13,1.8300000000000001
2000-09-14,1.837
2000-09-15,1.843
2000-09-16,1.843
2000-09-17,1.843
2000-09-18,1.8580000000000001
2000-09-19,1.8500000000000001
2000-09-20,1.8540000000000001
2000-09-21,1.853
2000-09-22,1.843
2000-09-23,1.843
2000-09-24,1.843
2000-09-25,1.8480000000000001
2000-09-26,1.8500000000000001
2000-09-27,1.847
2000-09-28,1.843
2000-09-29,1.843
2000-09-29,1.843
2000-09-30,1.843
2000-10-01,1.843
2000-10-02,1.851
2000-10-03,1.851
2000-10-04,1.8520000000000001
2000-10-05,1.8460000000000001
2000-10-06,1.8540000000000001
2000-10-07,1.8540000000000001
2000-10-08,1.8540000000000001
2000-10-09,1.8520000000000001
2000-10-10,1.855
2000-10-11,1.8600000000000001
2000-10-12,1.8600000000000001
2000-10-13,1.8700000000000001
2000-10-14,1.8700000000000001
2000-10-15,1.8700000000000001
2000-10-16,1.8640000000000001
2000-10-17,1.8700000000000001
2000-10-18,1.873
2000-10-19,1.875
2000-10-20,1.8839999999999999
2000-10-21,1.8839999999999999
2000-10-22,1.8839999999999999
2000-10-23,1.8999999999999999
2000-10-24,1.9079999999999999
2000-10-25,1.9279999999999999
2000-10-26,1.9339999999999999
2000-10-27,1.915
2000-10-28,1.911
2000-10-29,1.911
2000-10-30,1.911
2000-10-31,1.8999999999999999
2000-11-01,1.921
2000-11-02,1.921
2000-11-02,1.921
2000-11-03,1.9410000000000001
2000-11-04,1.9410000000000001
2000-11-05,1.9410000000000001
2000-11-06,1.9379999999999999
2000-11-07,1.9530000000000001
2000-11-08,1.966
2000-11-09,1.968
2000-11-10,1.948
2000-11-11,1.948
2000-11-12,1.948
2000-11-13,1.95
2000-11-14,1.9510000000000001
2000-11-15,1.9510000000000001
2000-11-16,1.9490000000000001
2000-11-17,1.9650000000000001
2000-11-18,1.9650000000000001
2000-11-19,1.9650000000000001
2000-11-20,1.9159999999999999
2000-11-21,1.9179999999999999
2000-11-22,1.931
2000-11-23,1.952
2000-11-24,1.9570000000000001
2000-11-25,1.9570000000000001
2000-11-26,1.9570000000000001
2000-11-27,1.97
2000-11-28,1.966
2000-11-29,1.956
2000-11-30,1.9790000000000001
2000-12-01,1.972
2000-12-02,1.972
2000-12-03,1.972
2000-12-04,1.9770000000000001
2000-12-05,1.9550000000000001
2000-12-06,1.9710000000000001
2000-12-06,1.9710000000000001
2000-12-07,1.974
2000-12-08,1.966
2000-12-09,1.966
2000-12-10,1.966
2000-12-14,1.9630000000000001
2000-12-15,1.964
2000-12-16,1.964
2000-12-17,1.964
2000-12-18,1.954
2000-12-19,1.9510000000000001
2000-12-20,1.9590000000000001
2000-12-21,1.9530000000000001
2000-12-22,1.958
2000-12-23,1.958
2000-12-24,1.958
2000-12-25,1.958
2000-12-26,1.9610000000000001
2000-12-27,1.958
2000-12-28,1.9490000000000001
2000-12-29,1.9490000000000001
2000-12-30,1.9490000000000001
2000-12-31,1.9490000000000001
2001-01-01,1.9490000000000001
2001-01-02,1.9410000000000001
2001-01-03,1.9410000000000001
2001-01-04,1.931
2001-01-05,1.9530000000000001
2001-01-06,1.9530000000000001
2001-01-07,1.9530000000000001
2001-01-08,1.9490000000000001
2001-01-09,1.9419999999999999
2001-01-10,1.9419999999999999
2001-01-11,1.954
2001-01-12,1.9470000000000001
2001-01-12,1.9470000000000001
2001-01-13,1.9470000000000001
2001-01-14,1.9470000000000001
2001-01-15,1.9470000000000001
2001-01-16,1.95
2001-01-17,1.9550000000000001
2001-01-18,1.952
2001-01-19,1.956
2001-01-20,1.956
2001-01-21,1.956
2001-01-22,1.956
2001-01-23,1.9610000000000001
2001-01-24,1.9690000000000001
2001-01-25,1.9730000000000001
2001-01-26,1.9730000000000001
2001-01-27,1.9730000000000001
2001-01-28,1.9730000000000001
2001-01-29,1.9730000000000001
2001-01-30,1.9650000000000001
2001-01-31,1.9710000000000001
2001-02-01,1.99
2001-02-02,1.986
2001-02-03,1.986
2001-02-04,1.986
2001-02-05,2.0009999999999999
2001-02-06,1.9990000000000001
2001-02-07,2.0030000000000001
2001-02-08,1.9890000000000001
2001-02-09,1.98
2001-02-10,1.98
2001-02-11,1.98
2001-02-12,1.9850000000000001
2001-02-13,1.9850000000000001
2001-02-14,1.988
2001-02-15,1.988
2001-02-15,1.988
2001-02-16,2.0019999999999998
2001-02-17,2.0019999999999998
2001-02-18,2.0019999999999998
2001-02-19,2.0019999999999998
2001-02-20,2.0089999999999999
2001-02-21,2.0390000000000001
2001-02-22,2.0720000000000001
2001-02-23,2.0350000000000001
2001-02-24,2.0350000000000001
2001-02-25,2.0379999999999998
2001-02-26,2.0379999999999998
2001-02-27,2.0379999999999998
2001-02-28,2.0449999999999999
2001-03-01,2.0390000000000001
2001-03-02,2.0259999999999998
2001-03-03,2.0259999999999998
2001-03-04,2.0259999999999998
2001-03-05,2.0209999999999999
2001-03-06,2.032
2001-03-07,2.04
2001-03-08,2.0510000000000002
2001-03-09,2.0449999999999999
2001-03-10,2.0449999999999999
2001-03-11,2.0449999999999999
2001-03-12,2.0579999999999998
2001-03-13,2.0609999999999999
2001-03-14,2.0760000000000001
2001-03-15,2.0950000000000002
2001-03-16,2.129
2001-03-17,2.129
2001-03-18,2.129
2001-03-19,2.1110000000000002
2001-03-20,2.0830000000000002
2001-03-21,2.1179999999999999
2001-03-21,2.1179999999999999
2001-03-22,2.1600000000000001
2001-03-23,2.1699999999999999
2001-03-24,2.1699999999999999
2001-03-25,2.1699999999999999
2001-03-26,2.133
2001-03-27,2.1219999999999999
2001-03-28,2.1230000000000002
2001-03-29,2.1499999999999999
2001-03-30,2.1509999999999998
2001-03-31,2.1509999999999998
2001-04-01,2.1509999999999998
2001-04-02,2.1640000000000001
2001-04-03,2.1739999999999999
2001-04-04,2.173
2001-04-05,2.1520000000000001
2001-04-06,2.1640000000000001
2001-04-07,2.1640000000000001
2001-04-08,2.1640000000000001
2001-04-09,2.157
2001-04-10,2.1360000000000001
2001-04-11,2.153
2001-04-12,2.153
2001-04-13,2.153
2001-04-14,2.153
2001-04-15,2.153
2001-04-16,2.194
2001-04-17,2.1949999999999998
2001-04-18,2.1800000000000002
2001-04-19,2.1930000000000001
2001-04-20,2.23
2001-04-21,2.23
2001-04-22,2.23
2001-04-23,2.258
2001-04-24,2.2639999999999998
2001-04-24,2.2639999999999998
2001-04-25,2.2869999999999999
2001-04-26,2.242
2001-04-27,2.2010000000000001
2001-04-28,2.2010000000000001
2001-04-29,2.2010000000000001
2001-04-30,2.1989999999999998
2001-05-01,2.1989999999999998
2001-05-02,2.2360000000000002
2001-05-03,2.2109999999999999
2001-05-04,2.21
2001-05-05,2.21
2001-05-06,2.21
2001-05-07,2.2130000000000001
2001-05-08,2.2429999999999999
2001-05-09,2.2589999999999999
2001-05-10,2.2559999999999998
2001-05-11,2.2839999999999998
2001-05-12,2.2839999999999998
2001-05-13,2.2839999999999998
2001-05-14,2.3130000000000002
2001-05-15,2.339
2001-05-16,2.3170000000000002
2001-05-17,2.3029999999999999
2001-05-18,2.302
2001-05-19,2.302
2001-05-20,2.302
2001-05-21,2.3170000000000002
2001-05-22,2.3220000000000001
2001-05-23,2.3439999999999999
2001-05-24,2.2370000000000001
2001-05-25,2.3170000000000002
2001-05-26,2.3170000000000002
2001-05-27,2.3170000000000002
2001-05-28,2.3319999999999999
2001-05-28,2.3319999999999999
2001-05-29,2.3450000000000002
2001-05-30,2.3410000000000002
2001-05-31,2.3730000000000002
2001-06-01,2.3780000000000001
2001-06-02,2.3780000000000001
2001-06-03,2.3780000000000001
2001-06-04,2.3799999999999999
2001-06-05,2.3879999999999999
2001-06-06,2.3860000000000001
2001-06-07,2.3639999999999999
2001-06-08,2.3570000000000002
2001-06-09,2.3570000000000002
2001-06-10,2.3570000000000002
2001-06-11,2.3769999999999998
2001-06-12,2.403
2001-06-13,2.4199999999999999
2001-06-14,2.4199999999999999
2001-06-15,2.4100000000000001
2001-06-16,2.4100000000000001
2001-06-17,2.4100000000000001
2001-06-18,2.4500000000000002
2001-06-19,2.4769999999999999
